"CTRY","YEAR","CIRI","COW","ASSN","FORMOV","DOMMOV","SPEECH","ELECSD","NEW_RELFRE","WORKER"
"Afghanistan",1981,101,700,0,0,1,0,0,1,0
"Afghanistan",1982,101,700,0,0,0,0,0,1,0
"Afghanistan",1983,101,700,0,0,0,0,0,0,0
"Afghanistan",1984,101,700,0,0,0,0,1,0,0
"Afghanistan",1985,101,700,0,0,0,0,0,0,0
"Afghanistan",1986,101,700,0,0,0,0,0,1,0
"Afghanistan",1987,101,700,0,0,0,0,1,2,0
"Afghanistan",1988,101,700,0,0,0,0,0,2,0
"Afghanistan",1989,101,700,0,1,0,0,0,2,0
"Afghanistan",1990,101,700,0,1,0,0,0,1,0
"Afghanistan",1991,101,700,0,2,0,0,0,1,0
"Afghanistan",1996,101,700,0,1,1,1,0,0,0
"Afghanistan",1997,101,700,0,1,1,1,0,0,0
"Afghanistan",1998,101,700,0,0,0,0,0,0,0
"Afghanistan",1999,101,700,0,0,1,1,0,0,0
"Afghanistan",2000,101,700,0,1,0,0,0,0,0
"Afghanistan",2001,101,700,0,0,0,0,0,0,0
"Afghanistan",2002,101,700,0,0,0,1,1,0,0
"Afghanistan",2005,101,700,1,0,0,0,1,0,0
"Afghanistan",2006,101,700,1,1,0,0,1,0,0
"Afghanistan",2007,101,700,1,1,1,0,1,0,0
"Afghanistan",2008,101,700,1,1,1,0,0,0,0
"Afghanistan",2009,101,700,0,0,0,0,1,0,0
"Afghanistan",2010,101,700,1,0,0,0,1,0,0
"Afghanistan",2011,101,700,1,0,0,1,1,0,1
"Albania",1981,104,339,0,0,0,0,0,0,0
"Albania",1982,104,339,0,0,0,0,0,0,0
"Albania",1983,104,339,0,0,0,0,0,0,0
"Albania",1984,104,339,0,0,0,1,0,0,0
"Albania",1985,104,339,0,0,0,0,0,0,0
"Albania",1986,104,339,0,0,0,0,0,0,0
"Albania",1987,104,339,0,0,0,1,0,0,0
"Albania",1988,104,339,0,0,0,0,0,0,0
"Albania",1989,104,339,0,0,0,0,0,0,0
"Albania",1990,104,339,0,0,0,1,1,0,0
"Albania",1991,104,339,0,2,2,1,1,2,2
"Albania",1992,104,339,1,2,2,1,1,1,1
"Albania",1993,104,339,0,2,2,1,1,1,1
"Albania",1994,104,339,1,2,2,1,2,2,2
"Albania",1995,104,339,1,2,2,1,2,1,2
"Albania",1996,104,339,1,2,2,1,0,1,2
"Albania",1997,104,339,1,2,2,1,1,1,2
"Albania",1998,104,339,2,2,2,1,2,2,1
"Albania",1999,104,339,2,2,1,1,2,2,2
"Albania",2000,104,339,1,2,2,1,1,1,1
"Albania",2001,104,339,2,2,1,1,2,1,2
"Albania",2002,104,339,2,2,2,1,2,2,1
"Albania",2003,104,339,1,2,2,1,2,1,1
"Albania",2004,104,339,1,2,2,1,2,2,1
"Albania",2005,104,339,2,2,2,1,1,1,1
"Albania",2006,104,339,2,2,2,1,1,2,1
"Albania",2007,104,339,2,1,2,1,1,2,1
"Albania",2008,104,339,2,2,2,2,1,2,1
"Albania",2009,104,339,2,2,2,1,1,2,1
"Albania",2010,104,339,2,2,2,1,1,2,1
"Albania",2011,104,339,2,1,2,1,1,1,1
"Algeria",1981,107,615,0,1,1,1,1,2,0
"Algeria",1982,107,615,0,1,1,0,0,2,0
"Algeria",1983,107,615,0,1,1,0,0,2,0
"Algeria",1984,107,615,0,1,1,0,1,1,0
"Algeria",1985,107,615,0,1,1,0,0,0,0
"Algeria",1986,107,615,0,1,1,0,0,1,0
"Algeria",1987,107,615,0,1,1,0,1,2,0
"Algeria",1988,107,615,0,1,1,0,0,1,0
"Algeria",1989,107,615,0,1,2,1,0,1,1
"Algeria",1990,107,615,0,1,2,1,1,1,0
"Algeria",1991,107,615,0,1,1,1,0,0,1
"Algeria",1992,107,615,0,1,1,0,0,0,1
"Algeria",1993,107,615,1,1,1,0,1,1,1
"Algeria",1994,107,615,1,1,1,0,0,0,1
"Algeria",1995,107,615,0,1,1,0,0,1,0
"Algeria",1996,107,615,1,1,1,1,1,0,1
"Algeria",1997,107,615,1,1,1,1,0,1,1
"Algeria",1998,107,615,0,1,1,0,0,1,1
"Algeria",1999,107,615,0,1,1,1,1,1,1
"Algeria",2000,107,615,0,1,2,1,0,1,2
"Algeria",2001,107,615,0,1,2,1,1,1,1
"Algeria",2002,107,615,0,1,2,1,1,1,0
"Algeria",2003,107,615,0,1,1,0,1,1,0
"Algeria",2004,107,615,0,1,2,0,1,0,0
"Algeria",2005,107,615,0,1,1,0,1,0,0
"Algeria",2006,107,615,0,1,2,0,1,1,0
"Algeria",2007,107,615,0,1,1,0,1,0,2
"Algeria",2008,107,615,0,1,1,0,0,1,0
"Algeria",2009,107,615,0,1,1,0,1,0,0
"Algeria",2010,107,615,0,1,1,0,1,0,0
"Algeria",2011,107,615,0,1,1,0,1,0,0
"Andorra",2001,110,232,2,2,2,2,2,2,1
"Andorra",2003,110,232,2,2,2,1,2,2,1
"Andorra",2004,110,232,2,2,2,2,2,2,1
"Andorra",2005,110,232,2,2,2,2,2,2,1
"Andorra",2006,110,232,2,2,2,2,2,2,1
"Andorra",2007,110,232,2,2,2,2,2,2,0
"Andorra",2008,110,232,2,2,2,2,2,2,0
"Andorra",2009,110,232,2,2,2,2,2,2,0
"Andorra",2010,110,232,2,2,2,2,2,2,0
"Andorra",2011,110,232,2,2,2,2,2,2,0
"Angola",1981,113,540,0,0,1,0,0,1,0
"Angola",1982,113,540,0,0,1,0,0,1,0
"Angola",1983,113,540,0,1,1,0,0,2,0
"Angola",1984,113,540,0,0,0,0,0,0,0
"Angola",1985,113,540,0,1,1,0,0,1,0
"Angola",1986,113,540,0,1,0,0,0,1,0
"Angola",1987,113,540,0,1,0,0,0,0,0
"Angola",1988,113,540,0,1,0,0,0,1,0
"Angola",1989,113,540,0,0,0,0,0,1,0
"Angola",1990,113,540,1,0,0,1,0,0,0
"Angola",1991,113,540,1,2,1,1,0,2,1
"Angola",1993,113,540,1,1,1,1,0,2,1
"Angola",1994,113,540,0,0,1,0,0,2,0
"Angola",1995,113,540,0,0,0,0,0,0,0
"Angola",1996,113,540,0,0,1,0,0,2,0
"Angola",1997,113,540,0,1,1,0,0,2,0
"Angola",1998,113,540,0,0,0,0,0,2,1
"Angola",1999,113,540,0,1,0,0,0,2,0
"Angola",2000,113,540,1,2,0,0,0,2,1
"Angola",2001,113,540,0,1,0,0,0,2,0
"Angola",2002,113,540,1,2,0,0,0,2,0
"Angola",2003,113,540,1,1,0,1,1,2,0
"Angola",2004,113,540,1,1,0,1,1,2,0
"Angola",2005,113,540,1,1,0,1,1,1,0
"Angola",2006,113,540,1,1,0,1,1,2,0
"Angola",2007,113,540,1,0,0,1,1,1,1
"Angola",2008,113,540,0,0,0,0,1,2,1
"Angola",2009,113,540,0,0,0,1,1,1,0
"Angola",2010,113,540,1,0,0,0,1,2,1
"Angola",2011,113,540,0,0,1,1,1,1,0
"Antigua and Barbuda",2001,116,58,2,2,2,1,1,2,2
"Antigua and Barbuda",2003,116,58,2,2,2,1,1,2,2
"Antigua and Barbuda",2004,116,58,2,2,2,1,2,2,2
"Antigua and Barbuda",2005,116,58,2,2,2,1,2,2,2
"Antigua and Barbuda",2006,116,58,2,2,2,2,2,2,2
"Antigua and Barbuda",2007,116,58,2,2,2,1,2,2,2
"Antigua and Barbuda",2008,116,58,2,2,2,1,2,1,1
"Antigua and Barbuda",2009,116,58,2,2,2,2,2,2,1
"Antigua and Barbuda",2010,116,58,2,2,2,1,2,2,1
"Antigua and Barbuda",2011,116,58,2,2,2,1,2,2,2
"Argentina",1981,119,160,1,1,2,1,0,1,1
"Argentina",1982,119,160,2,2,2,1,1,1,1
"Argentina",1983,119,160,2,2,2,2,2,0,1
"Argentina",1984,119,160,1,2,2,1,1,1,1
"Argentina",1985,119,160,1,2,2,2,2,1,2
"Argentina",1986,119,160,2,2,2,2,2,1,2
"Argentina",1987,119,160,2,2,2,1,1,2,2
"Argentina",1988,119,160,2,2,2,2,2,1,2
"Argentina",1989,119,160,2,2,2,2,2,1,2
"Argentina",1990,119,160,2,2,2,2,2,2,2
"Argentina",1991,119,160,2,2,2,2,2,2,1
"Argentina",1992,119,160,2,2,2,1,2,1,2
"Argentina",1993,119,160,2,2,2,1,2,0,2
"Argentina",1994,119,160,2,2,2,0,2,2,1
"Argentina",1995,119,160,2,2,2,2,2,2,1
"Argentina",1996,119,160,2,2,2,1,2,2,2
"Argentina",1997,119,160,2,2,2,1,2,2,2
"Argentina",1998,119,160,2,2,2,1,2,2,2
"Argentina",1999,119,160,1,2,2,1,2,2,2
"Argentina",2000,119,160,2,2,2,1,2,2,2
"Argentina",2001,119,160,1,2,2,1,2,2,2
"Argentina",2002,119,160,2,2,2,2,2,2,2
"Argentina",2003,119,160,2,2,2,2,2,2,1
"Argentina",2004,119,160,2,2,2,2,2,2,1
"Argentina",2005,119,160,2,2,2,2,2,2,1
"Argentina",2006,119,160,2,2,2,2,2,2,1
"Argentina",2007,119,160,2,2,2,2,2,2,1
"Argentina",2008,119,160,2,2,2,1,1,2,1
"Argentina",2009,119,160,2,2,2,1,2,2,1
"Argentina",2010,119,160,2,2,2,1,2,2,1
"Argentina",2011,119,160,2,2,2,1,2,2,1
"Armenia",1992,122,371,2,0,2,1,1,2,0
"Armenia",1993,122,371,2,1,2,1,2,1,0
"Armenia",1994,122,371,2,0,2,1,1,1,1
"Armenia",1995,122,371,1,0,1,1,0,0,0
"Armenia",1996,122,371,1,1,1,1,1,1,0
"Armenia",1997,122,371,1,1,1,1,1,1,0
"Armenia",1998,122,371,2,1,1,1,0,1,1
"Armenia",1999,122,371,2,1,1,1,1,0,2
"Armenia",2000,122,371,1,1,1,1,0,1,1
"Armenia",2001,122,371,2,1,1,1,1,1,2
"Armenia",2002,122,371,2,1,1,1,1,0,2
"Armenia",2003,122,371,2,1,1,1,0,0,0
"Armenia",2004,122,371,1,1,2,1,1,1,1
"Armenia",2005,122,371,1,1,2,1,1,1,1
"Armenia",2006,122,371,1,1,2,1,1,1,0
"Armenia",2007,122,371,1,1,1,1,1,1,0
"Armenia",2008,122,371,0,1,1,0,0,1,0
"Armenia",2009,122,371,0,1,1,0,0,1,0
"Armenia",2010,122,371,0,1,1,0,0,1,0
"Armenia",2011,122,371,1,1,1,1,1,0,1
"Australia",1981,125,900,2,2,2,2,1,2,2
"Australia",1982,125,900,2,2,2,2,2,2,2
"Australia",1983,125,900,2,2,2,2,2,2,2
"Australia",1984,125,900,2,2,2,2,2,2,2
"Australia",1985,125,900,2,2,2,2,2,2,2
"Australia",1986,125,900,2,2,2,2,2,2,2
"Australia",1987,125,900,2,2,2,2,1,2,2
"Australia",1988,125,900,2,2,2,2,2,2,2
"Australia",1989,125,900,2,2,2,2,2,2,2
"Australia",1990,125,900,2,2,2,2,1,2,2
"Australia",1991,125,900,2,2,2,2,2,2,2
