"actual", "replacement"
"mozmbique", "Mozambique"
"republic of south vietnam", "Republic of Vietnam"
"Vietnam", "Republic of, Republic of Vietnam"
"united stated of america", "United States of America"
"unites states of america", "United States of America"
"unites states", "United States of America"
"yugoslvia", "Yugoslavia"
" yugoslvia", "Yugoslavia"
"democratic republic of yemen", "Yemen, People's Republic of"
"sryia", "Syria"
"cameroun", "Cameroon"
"cameroun the united republic of", "Cameroon"
"domincan republic of", "Dominican Republic"
"vietnam (sodalist republic of)", "Viet Nam"
"netherland the kingdom of the", "Netherlands"
"madagscar", "Madagascar"
"brumei", "Brunei"
"nacaragua", "Nicaragua"
"lybia", "Libya"
"colimbia", "Columbia"
"union of soviet republics", "Russia (Soviet Union)"
"switerland", "Switzerland"
"swizerland", "Switzerland"
"senagal", "Senegal"
"mauratius", "Mauritius"
"mauritiua", "Mauritius"
"buhtan", "Bhutan"
"malysia", "Malyasia"
"azerbaydzhan", "Azerbaijan"
"azebaijan", "Azerbaijan"
"tadzhikistan", "Tajikistan"
"ausria", "Austria"
"belaruz", "Belarus"
"equador", "Ecuador"
"ecuadar", "Ecuador"
"lithiania", "Lithuania"
"burindi", "Burundi"
"eritriea", "Eritrea"
"kazkstan", "Kazakhstan"
"kazahstan", "Kazakhstan"
"burgaria", "Bulgaria"
"kyrcyzstan", "Kyrgyzstan"
"kyrgystan", "Kyrgyzstan"
"kygyzstan", "Kyrgyzstan"
"krygystan", "Kyrgyzstan"
"tamzania", "Tasmania"
"philippiines", "Philippines"
"the phillipines", "Philippines"
"argenitina", "Argentina"
" argenitina", "Argentina"
" argenitna", "Argentina"
"buhrain", "Bahrain"
"tajistan", "Tajikistan"
"tajkistan", "Tajikistan"
"uzberkistan", "Uzbekistan"
"gerogia", "Georgia"
"idonesia", "Indonesia"
"indonesoa", "Indonesia"
"hungaru", "Hungary"
"demmark", "Denmark"
"lituhuania", "Lithuania"
"lithuiania", "Lithuania"
"suruname", "Surinam"
"ausralia", "Australia"
"maldova", "Moldova"
"eqypt", "Egypt"
"jamaiza", "Jamaica"
"belguim", "Belgium"
"dijbouti", "Djibouti"
"laso the peoples democratic republic of", "Laos"
"Columbia", "Colombia"
"Malyasia", "Malaysia"
" czechoslivakia", "Czechoslovakia"
" serbia and montenegro", "Serbia"
"serbia and montenegro", "Serbia"
"serbia montenegro", "Serbia"
"vietman", "Viet Nam"
"el savador", "El Salvador"
"cote d ivore", "Cote DIvoire"
"democratic republic of yemen ", "Yemen People's Republic"
"czechoslivakia", "Czechoslovakia"
"argenitna", "Argentina"
"french the french republic", "France"
"south korea", "korea"

