"YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","genocide","rummel","massive_repression","executions","killing","latentmean","latentsd"
1949,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.37130829943882,0.296530345588516
1950,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.4282364630246,0.268741880640259
1951,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.46416846405745,0.262314485294548
1952,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.49256521418297,0.258327850004403
1953,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,-1.52264706036339,0.258319204332586
1954,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.50048972270398,0.258862219131657
1955,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.48275514214187,0.256941470259193
1956,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.46448714639366,0.252532868173398
1957,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.45480965697048,0.251816743242305
1958,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44969493503662,0.252064825478547
1959,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44653345902777,0.252895257800392
1960,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44517416973057,0.251927009900638
1961,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44267116173041,0.252682353159842
1962,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.44216944594402,0.252377127221544
1963,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.43774496175677,0.252066226309737
1964,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.43208151032399,0.25194127776922
1965,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.4230650346728,0.252814118832505
1966,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.40577353539508,0.253076473368778
1967,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.37182200445388,0.255473916248483
1968,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.30666477578802,0.259106972912014
1969,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.18450888768139,0.264688212359393
1970,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-0.956680821236802,0.281833356406066
1971,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,-0.547495043178896,0.318016852652249
1972,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,-0.189741159066037,0.358480623740322
1973,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.149452949848118,0.38771377486424
1974,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.480076483498777,0.402444427786751
1975,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.805798131960073,0.40273244704589
1976,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.12966589011083,0.382633574899021
1977,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.40775037771991,0.3715852034037
1978,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.60740697638752,0.373546571699237
1979,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.76547673905891,0.374485773262164
1980,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.90054337548432,0.365638792327824
1981,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,0,NA,1.9820596318538,0.357335939539288
1982,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,0,NA,2.00091251230895,0.351320352988856
1983,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,1.97076083328474,0.34407919827329
1984,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,1.8764026606224,0.331830845187854
1985,662,2,2,2,2,1,1,NA,NA,NA,0,0,0,NA,NA,1.69999338028931,0.32253997267464
1986,662,2,2,2,2,1,1,NA,NA,NA,0,0,0,NA,NA,1.58893824026618,0.311317934517486
1987,662,2,2,2,2,2,2,NA,NA,NA,0,0,0,NA,NA,1.52956624787802,0.297176769896461
1988,662,2,2,2,2,1,1,NA,NA,NA,0,NA,0,NA,NA,1.5257122415225,0.291626584851297
1989,662,2,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,1.5033056638611,0.289731257399674
1990,662,2,2,2,2,2,1,NA,NA,NA,0,NA,NA,NA,0,1.46626080609708,0.284865562447906
1991,662,2,2,2,2,1,2,NA,NA,NA,0,NA,NA,NA,0,1.25899678509825,0.27982828299966
1992,662,2,2,2,2,1,2,NA,NA,NA,0,NA,NA,NA,0,1.21683539652649,0.278418868111702
1993,662,2,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,1.34636296878287,0.280655160788849
1994,662,2,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,1.41978579753454,0.281082046927358
1995,662,2,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,1.44270853583638,0.278657154239291
1996,662,2,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,1.45313456382679,0.281895603090644
1997,662,2,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,1.48324319827699,0.281700403906234
1998,662,2,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,1.49118621741141,0.280754623770273
1999,662,2,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,1.42545587776029,0.279098153858562
2000,662,2,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,1.27221055519335,0.272377561667733
2001,662,2,2,2,0,1,2,NA,NA,6,0,NA,NA,NA,0,0.959734610497776,0.266795977784859
2002,662,2,2,2,1,1,2,NA,NA,6,0,NA,NA,NA,0,0.757485423758445,0.257952223775973
2003,662,2,2,2,1,1,2,NA,NA,6,0,NA,NA,NA,0,0.578316022457743,0.247393226945273
2004,662,2,1,1,1,1,3,NA,NA,6,0,NA,NA,NA,0,0.257170254340874,0.241899784439319
2005,662,2,2,1,1,0,3,NA,NA,6,0,NA,NA,NA,0,0.156823855087127,0.243375518247506
2006,662,2,2,1,1,0,3,NA,NA,NA,0,NA,NA,NA,0,0.214640446507029,0.245755071736993
2007,662,2,2,1,1,1,3,NA,NA,NA,0,NA,NA,NA,0,0.333705715508739,0.245493062830963
2008,662,2,2,1,2,1,3,NA,NA,NA,0,NA,NA,NA,0,0.414806164788553,0.245978244922699
2009,662,2,2,1,1,1,3,NA,NA,NA,0,NA,NA,NA,0,0.428525346807651,0.247598596300193
2010,662,2,2,1,2,1,3,NA,NA,NA,0,NA,NA,NA,0,0.468374817710221,0.255606409029926
2011,662,2,2,1,2,1,3,NA,NA,NA,0,NA,NA,NA,0,0.459396329909376,0.279249718636015
2012,NA,2,NA,NA,NA,NA,3,NA,NA,NA,0,NA,NA,NA,0,0.370840206738056,0.346807515794775
2013,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0.372964835060103,0.435120778280206
1949,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.90468795672169,0.722747217551787
1950,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.965780795855419,0.72822451707103
1951,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.02346628171251,0.73311119474616
1952,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.07482058236095,0.738778883806119
1953,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.12792135773546,0.745867090430241
1954,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.1767403760059,0.752461111559798
1955,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.22226698734272,0.75699195352008
1956,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.2680827432301,0.761985353015244
1957,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.31111552374185,0.767217991934665
1958,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.35068503243995,0.773425494863271
1959,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.38969849064985,0.776469456650751
1960,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.42368425171279,0.780369795285213
1961,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.45934942440055,0.780439979292627
1962,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.49222562065232,0.782151745938457
1963,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.52415773040339,0.780866749643551
1964,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.5536026139009,0.77911917670641
1965,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.58023660636456,0.77784060648241
1966,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.60788331165944,0.773759239558834
1967,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.63482311382273,0.766268163823867
1968,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.65965089574112,0.75789099646445
1969,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.68191906100757,0.746218107410024
1970,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.70413094293381,0.73244084928791
1971,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.72623491943332,0.718233021042839
1972,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.7455238054081,0.699211897844969
1973,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.76542938638334,0.679004848900675
1974,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.78353241535436,0.654454022846008
1975,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.80108684697695,0.627937201357518
1976,NA,20,NA,NA,NA,NA,1,1,NA,NA,0,0,0,0,NA,1.82038320677747,0.593992339557921
1977,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.82256107304077,0.573369210435966
1978,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.82027040159767,0.548374561534563
1979,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.81568755790286,0.517852047748634
1980,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.80290255241129,0.484109222436334
1981,194,20,2,2,2,2,NA,1,NA,NA,0,0,0,0,NA,1.78874302806658,0.443144338095962
1982,194,20,2,2,2,1,NA,1,NA,NA,0,0,0,0,NA,1.74734568831956,0.408394749122458
